region,count_apps,avg_apps_BS,avg_apps_M,count_apps_enr,count_text,count_apps_enr_budg,count_apps_enr_plat,avg_apps_enr_BS,avg_apps_enr_M,min_apps_enr_BS,min_apps_enr_M,count_apps_pers,pers_procent,count_apps_ourAch,count_apps_enr_ourAch,ourAch_procent
Адыгея,35,194.29,86.00,2,"менее 10",2,0,194.00,86.00,194.00,86.00,0,0.00,0,0,0.00
Алтай,8,204.50,0.00,1,"менее 10",1,0,178.00,0.00,178.00,0.00,0,0.00,0,0,0.00
Алтайский,131,204.53,12.00,8,"менее 10",6,2,222.88,0.00,185.00,0.00,9,6.87,0,0,0.00
Амурская,54,190.00,28.33,5,"менее 10",3,2,230.67,42.50,209.00,42.00,12,22.22,0,0,0.00
Архангельская,586,201.33,54.10,31,"от 30 до 40",26,5,201.79,66.67,159.00,58.00,89,15.19,5,0,0.00
Астраханская,143,197.41,0.00,7,"менее 10",5,2,187.00,0.00,149.00,0.00,8,5.59,0,0,0.00
Башкортостан,373,205.38,50.20,19,"от 10 до 20",14,5,215.56,68.00,145.00,50.00,25,6.70,5,0,0.00
Белгородская,234,196.65,20.50,13,"от 10 до 20",11,2,200.55,30.00,135.00,10.00,28,11.97,0,0,0.00
Брянская,216,210.42,11.00,13,"от 10 до 20",11,2,211.67,11.00,181.00,11.00,5,2.31,5,1,20.00
Бурятия,99,200.87,31.33,10,"от 10 до 20",7,3,208.00,57.00,164.00,48.00,14,14.14,0,0,0.00
Владимирская,108,206.75,39.00,8,"менее 10",7,1,206.88,0.00,145.00,0.00,12,11.11,16,0,0.00
Волгоградская,193,197.85,57.50,11,"от 10 до 20",11,0,220.70,59.00,191.00,59.00,23,11.92,0,0,0.00
Вологодская,374,211.34,41.60,16,"от 10 до 20",13,3,207.00,42.33,163.00,24.00,30,8.02,5,1,20.00
Воронежская,112,216.51,31.33,5,"менее 10",5,0,213.25,22.00,184.00,22.00,2,1.79,0,0,0.00
Дагестан,62,170.12,32.67,4,"менее 10",2,2,181.00,16.00,162.00,16.00,9,14.52,0,0,0.00
Еврейская,19,202.37,0.00,0,"менее 10",0,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0.00
Забайкальский,56,193.31,0.00,5,"менее 10",3,2,198.00,0.00,157.00,0.00,3,5.36,0,0,0.00
Ивановская,121,211.86,0.00,10,"от 10 до 20",10,0,208.50,0.00,179.00,0.00,5,4.13,0,0,0.00
Ингушетия,1,177.00,0.00,0,"менее 10",0,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0.00
Иркутская,230,212.25,0.00,13,"от 10 до 20",9,4,202.46,0.00,158.00,0.00,2,0.87,0,0,0.00
Кабардино-Балкарская,34,211.50,0.00,0,"менее 10",0,0,0.00,0.00,0.00,0.00,10,29.41,0,0,0.00
Калининградская,305,206.74,60.14,20,"от 20 до 30",14,6,217.25,62.25,159.00,30.00,6,1.97,0,0,0.00
Калмыкия,33,189.88,36.00,3,"менее 10",2,1,227.67,0.00,226.00,0.00,1,3.03,0,0,0.00
Калужская,65,212.68,30.00,1,"менее 10",0,1,243.00,0.00,243.00,0.00,0,0.00,0,0,0.00
Камчатский,81,210.53,0.00,7,"менее 10",4,3,201.43,0.00,142.00,0.00,12,14.81,0,0,0.00
Карачаево-Черкесская,16,203.13,0.00,1,"менее 10",1,0,214.00,0.00,214.00,0.00,0,0.00,0,0,0.00
Карелия,249,199.25,74.50,12,"от 10 до 20",9,3,210.10,74.50,175.00,59.00,17,6.83,0,0,0.00
"Кемеровская область - Кузбасс",191,221.03,30.00,11,"от 10 до 20",9,2,231.20,30.00,180.00,30.00,4,2.09,0,0,0.00
Кировская,221,213.56,62.89,34,"от 30 до 40",19,15,219.37,67.27,166.00,44.00,7,3.17,3,1,33.33
Коми,344,205.57,64.64,28,"от 20 до 30",18,10,207.29,75.57,128.00,48.00,26,7.56,0,0,0.00
Костромская,136,208.18,55.00,5,"менее 10",4,1,178.25,90.00,171.00,90.00,0,0.00,0,0,0.00
Краснодарский,867,204.64,42.69,46,"от 40 до 50",34,12,205.69,50.18,161.00,20.00,38,4.38,8,1,12.50
Красноярский,224,202.15,53.50,15,"от 10 до 20",9,6,200.36,56.25,162.00,48.00,12,5.36,0,0,0.00
Курганская,52,200.33,0.00,1,"менее 10",1,0,210.00,0.00,210.00,0.00,0,0.00,0,0,0.00
Курская,119,198.32,45.67,7,"менее 10",7,0,196.17,70.00,187.00,70.00,0,0.00,0,0,0.00
Ленинградская,2546,199.06,41.16,219,"более 200",157,62,205.89,58.90,139.00,20.00,525,20.62,23,4,17.39
Липецкая,105,210.42,67.00,10,"от 10 до 20",8,2,203.22,67.00,169.00,67.00,16,15.24,0,0,0.00
Магаданская,21,216.81,0.00,4,"менее 10",1,3,224.00,0.00,184.00,0.00,1,4.76,0,0,0.00
"Марий Эл",51,215.47,19.50,4,"менее 10",4,0,209.25,0.00,200.00,0.00,4,7.84,0,0,0.00
Мордовия,19,206.32,0.00,1,"менее 10",0,1,174.00,0.00,174.00,0.00,2,10.53,0,0,0.00
Москва,206,193.87,35.57,14,"от 10 до 20",10,4,185.00,49.00,156.00,30.00,43,20.87,0,0,0.00
Московская,314,203.43,48.54,32,"от 30 до 40",29,3,202.52,49.44,158.00,41.00,50,15.92,0,0,0.00
Мурманская,670,206.01,44.22,34,"от 30 до 40",22,12,213.10,60.50,142.00,47.00,54,8.06,7,0,0.00
Ненецкий,30,197.93,0.00,3,"менее 10",2,1,202.00,0.00,201.00,0.00,1,3.33,0,0,0.00
Нижегородская,218,226.93,37.00,12,"от 10 до 20",11,1,236.00,42.00,183.00,42.00,12,5.50,0,0,0.00
