Округ,Регион,Город,Предприятие,Кол-во зачисленных
Приволжский федеральный округ,Кировская область,Киров,"ПАО ""Кировский завод ""Маяк""",2
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «Концерн «МПО - Гидроприбор»,6
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «Концерн «Океанприбор»,2
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,ОАО «Авангард»,1
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «Концерн «Гранит-Электрон»,5
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,"ООО ""Кулон""",1
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «НПП «Радар ммс»,12
Северо-Западный федеральный округ,Санкт-Петербург,Ломоносов,АО «НИИ Мортеплотехники»,1
Северо-Западный федеральный округ,Ленинградская область,Сосновый Бор,ФГУП «НИТИ им. А.П. Александрова»,1
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,СПб ОАО «Красный Октябрь»,8
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «ЦКБ МТ «Рубин»,2
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «НПП «Пирамида»,1
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «КБ «Арсенал»,2
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «КБСМ»,2
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «ВНИИРА»,2
Северо-Западный федеральный округ,Ленинградская область,Мурино,АО «НПО «Поиск»,2
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «ЦНИИМ»,3
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,"АО ""СЗРЦ концерна ВКО ""Алмаз-Антей"" - Обуховский завод""",9
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «ОДК-Климов»,23
Северо-Западный федеральный округ,Калининградская область,Калининград,"АО ""ОКБ ""Факел""",3
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,"ПАО ""Пролетарский завод""",1
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,"АО ""Радиоавионика""",1
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,"АО НПО ""Компрессор""",1
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,ОАО «МЗ «Арсенал»,1
Северо-Западный федеральный округ,Архангельская область,Северодвинск,АО «Производственное объединение «Севмаш»,2
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «НПО «Импульс»,1
Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,АО «РИРВ»,1
Северо-Западный федеральный округ,Новгородская область,Великий Новгород,АО НПО «Квант»,1
Северо-Западный федеральный округ,Ленинградская область,Гатчина,"АО ""218 авиационный ремонтный завод""",1
Сибирский федеральный округ,Красноярский край,Железногорск,АО «ИСС»,6
Уральский федеральный округ,Свердловская область,Каменск-Уральский,"АО ""Уральское проектно-конструкторское бюро ""Деталь""",1
Уральский федеральный округ,Свердловская область,Екатеринбург,АО «ПО «УОМЗ»,1
Уральский федеральный округ,Свердловская область,Екатеринбург,АО «ОКБ «Новатор»,1
Центральный федеральный округ,Московская область,Коломна,АО «НПК «КБМ»,11
Центральный федеральный округ,Москва,Москва,АО «НПО «Прибор»,2
Центральный федеральный округ,Владимирская область,Ковров,ОАО «Завод им. В.А. Дегтярева»,1
Приволжский федеральный округ,Республика Татарстан,Казань,АО Эникс,
Приволжский федеральный округ,Республика Татарстан,Казань,ФКП Казанский государственный казенный пороховой завод,
Приволжский федеральный округ,Республика Татарстан,Казань,ОАК Казанский авиационный завод им. С. П. Горбунова,
Приволжский федеральный округ,Республика Татарстан,Казань,АО Казанский оптико-механический завод,
Приволжский федеральный округ,Республика Татарстан,Казань,АП Казанский вертолётный завод,
Северо-Западный федеральный округ,Мурманская область,Мурманск,"АО ""82 судоремонтный завод""",
Северо-Западный федеральный округ,Мурманская область,Мурманск,"АО""Кольское предприятие ЭРА""",
Северо-Западный федеральный округ,Мурманская область,Мурманск,"АО ""Апатит""",
Северо-Западный федеральный округ,Мурманская область,Мурманск,"Филиал 35 АО Судоремонтынй завод ""Звездочка""",
Северо-Западный федеральный округ,Мурманская область,Мурманск,"ООО""СпецМашТехноСервис""",
Центральный федеральный округ,Брянская область,Брянск,"ЗАО ""Управляющая компания ""Брянский машиностроительный завод""",
Центральный федеральный округ,Брянская область,Брянск,"ЗАО СП ""Брянсксельмаш""",
Центральный федеральный округ,Брянская область,Брянск,"ЗАО ""ПО ""Ирмаш""",
Центральный федеральный округ,Брянская область,Брянск,"
ЗАО ""Брянский автомобильный завод""",
Центральный федеральный округ,Брянская область,Брянск,"ОАО ""Брянский арсенал""",
Центральный федеральный округ,Брянская область,Брянск,"АО ""192 Центральный завод железнодорожной техники""",
Центральный федеральный округ,Брянская область,Брянск,"ОАО ""Брянский завод металлоконструкций и технологической оснастки""",
Центральный федеральный округ,Брянская область,Брянск,"ООО ""ПК ""Бежицкий сталелитейный завод""",
Центральный федеральный округ,Брянская область,Брянск,"АО ""Брянский электромеханический завод""",
Дальневосточный федеральный округ,Камчатский край,"Петропавловск
-Камчатский",ООО ГК «СибСтройМет»,
Центральный федеральный округ,Москва,Москва,ООО ADA Aero,
Центральный федеральный округ,Москва,Москва,ООО Аэроб,
Центральный федеральный округ,Москва,Москва,АО Аэрокомпозит,
Центральный федеральный округ,Москва,Москва,АО Акин,
Центральный федеральный округ,Москва,Москва,АО «Концерн ВКО «Алмаз – Антей»,
Центральный федеральный округ,Москва,Москва,АО «Альтаир - НТПЦ»,
Центральный федеральный округ,Москва,Москва,"АО ""Концер ""Автоматика""",
Центральный федеральный округ,Москва,Москва,АО РТИ,
Центральный федеральный округ,Москва,Москва,АО «НПО «Базальт»,
Центральный федеральный округ,Москва,Москва,"АО ""Концерн ""МОРИНСИС - АГАТ""",
Центральный федеральный округ,Москва,Москва,"АО ""Дукс""",
Центральный федеральный округ,Москва,Москва,"ОАО ""НПО ГЕОФИЗИКА-НВ""",
Центральный федеральный округ,Москва,Москва,"ОАО ""НПО ""ГИДРОМАШ""",
Центральный федеральный округ,Москва,Москва,"АО ""ГНПП ""РЕГИОН""",
Центральный федеральный округ,Москва,Москва,"АО ""Инновациооные оружейные технологии""",
Центральный федеральный округ,Москва,Москва,"АО ""МКБ ""Искра""",
Центральный федеральный округ,Москва,Москва,"АО ""КБ ""Аметист""",
Центральный федеральный округ,Москва,Москва,"АО ""КБТОЧМАШ ИМ. А.Э. Нудельмана""",
Центральный федеральный округ,Москва,Москва,АО «Московское конструкторское бюро «Компас»,
Центральный федеральный округ,Москва,Москва,АО «Конструкторское бюро машиностроения»,
Центральный федеральный округ,Москва,Москва,"АО ""ГОС МКБ ""Вымпел"" им. И.И. Торопова""",
Центральный федеральный округ,Москва,Москва,"АО ""ЦНИИ ""КУРС""",
Центральный федеральный округ,Москва,Москва,АО НИАТ,
Центральный федеральный округ,Москва,Москва,"АО ""НИИ стали""",
Центральный федеральный округ,Москва,Москва,"АО ""ПРОЕКТМАШПРИБОР""",
Центральный федеральный округ,Москва,Москва,"АО ""ЗАВОД ""Топаз""",
Центральный федеральный округ,Москва,Москва,"ООО ""ОКБ Беркана""",
Центральный федеральный округ,Москва,Москва,"АО ""Красная звезда""",
Центральный федеральный округ,Москва,Москва,"АО ""НПП ""Салют""",
Центральный федеральный округ,Москва,Москва,"АО ""КОНЦЕРН ""Вега""",
Уральский федеральный округ,Челябинская область,Челябинск,АО «Сигнал»,
Уральский федеральный округ,Челябинская область,Челябинск,АО «Завод «Пластмасс»,
Уральский федеральный округ,Челябинская область,Челябинск,"ЗАО ""Челябинский компрессорный завод""",
Уральский федеральный округ,Челябинская область,Челябинск,"ОАО ""Челябинский цинковый завод""",
Уральский федеральный округ,Челябинская область,Челябинск,"ОАО ""Челябинский механический завод""",
Уральский федеральный округ,Челябинская область,Челябинск,"ОАО ""Уралавтоприцеп",
Уральский федеральный округ,Челябинская область,Челябинск,"АО ""НПО ""Электромашина""",
Уральский федеральный округ,Челябинская область,Челябинск,"ОАО ""Трубодеталь""",
Уральский федеральный округ,Челябинская область,Челябинск,"ООО ""Челябинский тракторный завод - УРАЛТРАК""",
Приволжский федеральный округ,Самарская область,Тольятти,"Акционерное Общество ""АВТОВАЗ""",
Приволжский федеральный округ,Самарская область,Тольятти,"Общество с ограниченной ответственностью ""Тольяттинский трансформатор",
Приволжский федеральный округ,Самарская область,Тольятти,"Поволжский завод штамповой оснастки Общество с Ограниченной Ответственностью ""Техносервис - ТЛТ""",
Приволжский федеральный округ,Самарская область,Тольятти,"Закрытое Акционерное общество ""Тольяттинский Завод Автоагрегаторов""",
Приволжский федеральный округ,Самарская область,Тольятти,Тольяттинский трубопроводный завод,
Дальневосточный федеральный округ,Приморский край,Владивосток,"ПАО ""Дальприбор""",
Дальневосточный федеральный округ,Приморский край,Владивосток,АО «ДЦСС» (входит в состав Обществ Группы ПАО «НК «Роснефть»),
Дальневосточный федеральный округ,Приморский край,Владивосток,ООО Котельный завод «Восточный»,
Дальневосточный федеральный округ,Приморский край,Владивосток,АО «Инструментальный завод»,
Дальневосточный федеральный округ,Приморский край,Владивосток,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМОРСКИЙ ЗАВОД ПО ОБРАБОТКЕ ЦВЕТНЫХ МЕТАЛЛОВ",
Дальневосточный федеральный округ,Приморский край,Владивосток,ПАО «СОЛЛЕРС АВТО»,
